127.0.0.1 - - [11/May/2017:09:33:55 +0200] "GET / HTTP/1.1" 404 1081
127.0.0.1 - - [11/May/2017:09:33:58 +0200] "GET /webapp/kontaktpage/kontaktstyle.css HTTP/1.1" 200 1566
127.0.0.1 - - [11/May/2017:09:33:58 +0200] "GET /webapp/kontaktpage/kontakt.jsp HTTP/1.1" 200 2696
127.0.0.1 - - [11/May/2017:09:33:59 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:33:59 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 200 7857994
127.0.0.1 - - [11/May/2017:09:33:59 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:34:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [11/May/2017:09:34:23 +0200] "GET /webapp/kontaktpage/kontakt.jsp HTTP/1.1" 200 2696
127.0.0.1 - - [11/May/2017:09:34:23 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:34:23 +0200] "GET /webapp/kontaktpage/kontaktstyle.css HTTP/1.1" 200 1566
127.0.0.1 - - [11/May/2017:09:34:23 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:34:23 +0200] "GET /webapp/video/Big-Apple.webm HTTP/1.1" 304 -
127.0.0.1 - - [11/May/2017:09:34:24 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [11/May/2017:09:34:24 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [11/May/2017:09:34:28 +0200] "GET /webapp/video/Big-Apple.jpg HTTP/1.1" 200 514302
127.0.0.1 - - [11/May/2017:09:34:35 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:34:38 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:34:48 +0200] "GET /webapp/kontaktpage/img/videoframe.jpg HTTP/1.1" 404 1118
127.0.0.1 - - [11/May/2017:09:36:24 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6924
127.0.0.1 - - [11/May/2017:09:36:25 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 200 8248
127.0.0.1 - - [11/May/2017:09:36:25 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 200 12794
127.0.0.1 - - [11/May/2017:09:38:02 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6945
127.0.0.1 - - [11/May/2017:09:38:02 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [11/May/2017:09:38:02 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 200 8289
127.0.0.1 - - [11/May/2017:09:41:52 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6945
127.0.0.1 - - [11/May/2017:09:41:52 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
