127.0.0.1 - - [09/May/2017:16:55:27 +0200] "GET / HTTP/1.1" 404 1081
127.0.0.1 - - [09/May/2017:16:55:28 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3792
127.0.0.1 - - [09/May/2017:16:55:28 +0200] "GET /styles/logincss.css HTTP/1.1" 404 1100
127.0.0.1 - - [09/May/2017:16:55:28 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:16:56:23 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3784
127.0.0.1 - - [09/May/2017:16:56:23 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4871
127.0.0.1 - - [09/May/2017:16:56:23 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:00:00 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3697
127.0.0.1 - - [09/May/2017:17:00:01 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:00:01 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:10:09 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:10:09 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3731
127.0.0.1 - - [09/May/2017:17:10:09 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 200 483
127.0.0.1 - - [09/May/2017:17:10:09 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:13:30 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:13:30 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:13:30 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3733
127.0.0.1 - - [09/May/2017:17:13:30 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:18:53 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:18:53 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:18:53 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:18:53 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 4120
127.0.0.1 - - [09/May/2017:17:20:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:20:00 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:20:01 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 4589
127.0.0.1 - - [09/May/2017:17:20:40 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:20:40 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 4120
127.0.0.1 - - [09/May/2017:17:21:53 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:21:53 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:21:53 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:21:53 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 4110
127.0.0.1 - - [09/May/2017:17:22:42 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:22:42 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3755
