127.0.0.1 - - [10/May/2017:11:16:42 +0200] "GET / HTTP/1.1" 404 1081
127.0.0.1 - - [10/May/2017:11:16:46 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 5311
127.0.0.1 - - [10/May/2017:11:16:46 +0200] "GET /webapp/indexpage/logincss.css HTTP/1.1" 404 1110
127.0.0.1 - - [10/May/2017:11:16:46 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 200 12794
127.0.0.1 - - [10/May/2017:11:16:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:17:24 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:17:25 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 5698
127.0.0.1 - - [10/May/2017:11:17:25 +0200] "GET /webapp/indexpage/logincss.css HTTP/1.1" 404 1110
127.0.0.1 - - [10/May/2017:11:17:25 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:19:45 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:19:45 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 5698
127.0.0.1 - - [10/May/2017:11:19:45 +0200] "GET /webapp/indexpage/logincss.css HTTP/1.1" 404 1110
127.0.0.1 - - [10/May/2017:11:19:45 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:20:34 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:20:34 +0200] "GET /webapp/indexpage/logincss.css HTTP/1.1" 404 1110
127.0.0.1 - - [10/May/2017:11:20:34 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:20:35 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 5700
127.0.0.1 - - [10/May/2017:11:20:35 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 200 7886
127.0.0.1 - - [10/May/2017:11:27:26 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:27:26 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6882
127.0.0.1 - - [10/May/2017:11:27:26 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 200 8248
127.0.0.1 - - [10/May/2017:11:27:27 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:28:31 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:28:31 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:28:31 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6888
127.0.0.1 - - [10/May/2017:11:28:31 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:28:31 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:28:36 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6888
127.0.0.1 - - [10/May/2017:11:28:36 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:28:36 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:28:36 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:30:47 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6873
127.0.0.1 - - [10/May/2017:11:30:47 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:30:47 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
